district,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,electrical_capacity,number_of_installations,data_source,as_of_year
lubelski,Renewable energy,Wind,,Onshore,1.5,2,Urzad Regulacji Energetyki,2016
lubiński,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
lubiński,Renewable energy,Solar,,Photovoltaics,0.006,1,Urzad Regulacji Energetyki,2016
lubiński,Renewable energy,Bioenergy,Sewage and landfill gas,,3.18,2,Urzad Regulacji Energetyki,2016
lubliniecki,Renewable energy,Wind,,Onshore,10.825,9,Urzad Regulacji Energetyki,2016
lubliniecki,Renewable energy,Solar,,Photovoltaics,0.022,2,Urzad Regulacji Energetyki,2016
lwówecki,Renewable energy,Solar,,Photovoltaics,0.04,1,Urzad Regulacji Energetyki,2016
lwówecki,Renewable energy,Hydro,,Hydro,13.364,1,Urzad Regulacji Energetyki,2016
lwówecki,Renewable energy,Hydro,,Hydro,3.008,2,Urzad Regulacji Energetyki,2016
lwówecki,Renewable energy,Hydro,,Hydro,1.105,6,Urzad Regulacji Energetyki,2016
lwówecki,Renewable energy,Hydro,,Hydro,1.174,2,Urzad Regulacji Energetyki,2016
lęborski,Renewable energy,Hydro,,Hydro,0.124,4,Urzad Regulacji Energetyki,2016
lęborski,Renewable energy,Wind,,Onshore,168.01,5,Urzad Regulacji Energetyki,2016
lęborski,Renewable energy,Bioenergy,Biomass and biogas,,1.2,1,Urzad Regulacji Energetyki,2016
lęborski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.18,1,Urzad Regulacji Energetyki,2016
lęborski,Renewable energy,Bioenergy,Biomass and biogas,,1.4,1,Urzad Regulacji Energetyki,2016
makowski,Renewable energy,Hydro,,Hydro,0.1,1,Urzad Regulacji Energetyki,2016
makowski,Renewable energy,Wind,,Onshore,12.0,2,Urzad Regulacji Energetyki,2016
malborski,Renewable energy,Hydro,,Hydro,1.38,2,Urzad Regulacji Energetyki,2016
malborski,Renewable energy,Bioenergy,Biomass and biogas,,0.8,1,Urzad Regulacji Energetyki,2016
malborski,Renewable energy,Wind,,Onshore,75.15,2,Urzad Regulacji Energetyki,2016
miechowski,Renewable energy,Hydro,,Hydro,0.03,1,Urzad Regulacji Energetyki,2016
miechowski,Renewable energy,Solar,,Photovoltaics,1.004,2,Urzad Regulacji Energetyki,2016
miechowski,Renewable energy,Wind,,Onshore,4.2,3,Urzad Regulacji Energetyki,2016
mielecki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.562,2,Urzad Regulacji Energetyki,2016
mielecki,Renewable energy,Solar,,Photovoltaics,0.035,1,Urzad Regulacji Energetyki,2016
mielecki,Renewable energy,Wind,,Onshore,4.05,6,Urzad Regulacji Energetyki,2016
mikołowski,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
milicki,Renewable energy,Hydro,,Hydro,0.09,1,Urzad Regulacji Energetyki,2016
międzychodzki,Renewable energy,Solar,,Photovoltaics,0.9,1,Urzad Regulacji Energetyki,2016
międzychodzki,Renewable energy,Wind,,Onshore,2.0,1,Urzad Regulacji Energetyki,2016
międzychodzki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.4,1,Urzad Regulacji Energetyki,2016
międzychodzki,Renewable energy,Bioenergy,Biomass and biogas,,1.862,1,Urzad Regulacji Energetyki,2016
międzyrzecki,Renewable energy,Hydro,,Hydro,0.128,4,Urzad Regulacji Energetyki,2016
międzyrzecki,Renewable energy,Hydro,,Hydro,0.932,1,Urzad Regulacji Energetyki,2016
miński,Renewable energy,Bioenergy,Biomass and biogas,,2.0,1,Urzad Regulacji Energetyki,2016
miński,Renewable energy,Wind,,Onshore,2.35,3,Urzad Regulacji Energetyki,2016
miński,Renewable energy,Bioenergy,Sewage and landfill gas,,0.16,1,Urzad Regulacji Energetyki,2016
miński,Renewable energy,Solar,,Photovoltaics,0.24,2,Urzad Regulacji Energetyki,2016
mogileński,Renewable energy,Wind,,Onshore,14.3,9,Urzad Regulacji Energetyki,2016
mrągowski,Renewable energy,Solar,,Photovoltaics,0.5,1,Urzad Regulacji Energetyki,2016
mrągowski,Renewable energy,Hydro,,Hydro,0.044,1,Urzad Regulacji Energetyki,2016
myszkowski,Renewable energy,Solar,,Photovoltaics,0.107,3,Urzad Regulacji Energetyki,2016
myślenicki,Renewable energy,Hydro,,Hydro,2.5,1,Urzad Regulacji Energetyki,2016
myślenicki,Renewable energy,Hydro,,Hydro,0.25,1,Urzad Regulacji Energetyki,2016
myślenicki,Renewable energy,Solar,,Photovoltaics,0.593,6,Urzad Regulacji Energetyki,2016
myśliborski,Renewable energy,Hydro,,Hydro,0.755,6,Urzad Regulacji Energetyki,2016
myśliborski,Renewable energy,Wind,,Onshore,55.0,2,Urzad Regulacji Energetyki,2016
mławski,Renewable energy,Bioenergy,Sewage and landfill gas,,3.29,2,Urzad Regulacji Energetyki,2016
mławski,Renewable energy,Wind,,Onshore,29.2,8,Urzad Regulacji Energetyki,2016
nakielski,Renewable energy,Hydro,,Hydro,0.452,3,Urzad Regulacji Energetyki,2016
nakielski,Renewable energy,Wind,,Onshore,11.35,6,Urzad Regulacji Energetyki,2016
namysłowski,Renewable energy,Solar,,Photovoltaics,0.04,1,Urzad Regulacji Energetyki,2016
namysłowski,Renewable energy,Wind,,Onshore,61.0,3,Urzad Regulacji Energetyki,2016
namysłowski,Renewable energy,Hydro,,Hydro,0.042,1,Urzad Regulacji Energetyki,2016
namysłowski,Renewable energy,Bioenergy,Biomass and biogas,,2.0,1,Urzad Regulacji Energetyki,2016
nidzicki,Renewable energy,Wind,,Onshore,11.75,3,Urzad Regulacji Energetyki,2016
nidzicki,Renewable energy,Solar,,Photovoltaics,0.08,2,Urzad Regulacji Energetyki,2016
nowodworski,Renewable energy,Wind,,Onshore,42.0,3,Urzad Regulacji Energetyki,2016
nowodworski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.075,1,Urzad Regulacji Energetyki,2016
nowodworski,Renewable energy,Wind,,Onshore,10.0,1,Urzad Regulacji Energetyki,2016
nowomiejski,Renewable energy,Hydro,,Hydro,0.557,7,Urzad Regulacji Energetyki,2016
nowomiejski,Renewable energy,Wind,,Onshore,1.6,2,Urzad Regulacji Energetyki,2016
nowomiejski,Renewable energy,Solar,,Photovoltaics,1.08,2,Urzad Regulacji Energetyki,2016
nowomiejski,Renewable energy,Bioenergy,Biomass and biogas,,2.0,1,Urzad Regulacji Energetyki,2016
nowosolski,Renewable energy,Solar,,Photovoltaics,0.111,1,Urzad Regulacji Energetyki,2016
nowosolski,Renewable energy,Bioenergy,Biomass and biogas,,0.252,1,Urzad Regulacji Energetyki,2016
nowosolski,Renewable energy,Wind,,Onshore,6.0,2,Urzad Regulacji Energetyki,2016
nowosolski,Renewable energy,Hydro,,Hydro,0.022,1,Urzad Regulacji Energetyki,2016
nowosądecki,Renewable energy,Solar,,Photovoltaics,0.967,2,Urzad Regulacji Energetyki,2016
nowosądecki,Renewable energy,Wind,,Onshore,0.46,2,Urzad Regulacji Energetyki,2016
nowosądecki,Renewable energy,Hydro,,Hydro,0.112,2,Urzad Regulacji Energetyki,2016
nowosądecki,Renewable energy,Hydro,,Hydro,0.84,1,Urzad Regulacji Energetyki,2016
nowosądecki,Renewable energy,Hydro,,Hydro,56.0,1,Urzad Regulacji Energetyki,2016
nowotarski,Renewable energy,Hydro,,Hydro,0.785,8,Urzad Regulacji Energetyki,2016
nowotarski,Renewable energy,Hydro,,Hydro,1.145,3,Urzad Regulacji Energetyki,2016
nowotarski,Renewable energy,Hydro,,Hydro,2.08,1,Urzad Regulacji Energetyki,2016
nowotarski,Renewable energy,Hydro,,Hydro,92.75,1,Urzad Regulacji Energetyki,2016
nowotarski,Renewable energy,Solar,,Photovoltaics,0.394,9,Urzad Regulacji Energetyki,2016
nowotarski,Renewable energy,Wind,,Onshore,0.505,2,Urzad Regulacji Energetyki,2016
nowotomyski,Renewable energy,Wind,,Onshore,22.4,5,Urzad Regulacji Energetyki,2016
nowotomyski,Renewable energy,Solar,,Photovoltaics,0.296,2,Urzad Regulacji Energetyki,2016
nowotomyski,Renewable energy,Hydro,,Hydro,0.02,1,Urzad Regulacji Energetyki,2016
nyski,Renewable energy,Hydro,,Hydro,0.53,3,Urzad Regulacji Energetyki,2016
nyski,Renewable energy,Hydro,,Hydro,6.646,1,Urzad Regulacji Energetyki,2016
nyski,Renewable energy,Hydro,,Hydro,6.14,3,Urzad Regulacji Energetyki,2016
nyski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.037,1,Urzad Regulacji Energetyki,2016
nyski,Renewable energy,Hydro,,Hydro,0.76,1,Urzad Regulacji Energetyki,2016
nyski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.25,1,Urzad Regulacji Energetyki,2016
nyski,Renewable energy,Wind,,Onshore,37.25,2,Urzad Regulacji Energetyki,2016
obornicki,Renewable energy,Wind,,Onshore,6.05,4,Urzad Regulacji Energetyki,2016
obornicki,Renewable energy,Hydro,,Hydro,0.5,1,Urzad Regulacji Energetyki,2016
obornicki,Renewable energy,Solar,,Photovoltaics,0.3,1,Urzad Regulacji Energetyki,2016
obornicki,Renewable energy,Hydro,,Hydro,0.249,4,Urzad Regulacji Energetyki,2016
olecki,Renewable energy,Bioenergy,Biomass and biogas,,2.126,2,Urzad Regulacji Energetyki,2016
olecki,Renewable energy,Solar,,Photovoltaics,0.04,1,Urzad Regulacji Energetyki,2016
olecki,Renewable energy,Wind,,Onshore,4.6,2,Urzad Regulacji Energetyki,2016
olecki,Renewable energy,Hydro,,Hydro,0.141,3,Urzad Regulacji Energetyki,2016
oleski,Renewable energy,Hydro,,Hydro,0.01,1,Urzad Regulacji Energetyki,2016
oleski,Renewable energy,Solar,,Photovoltaics,0.037,2,Urzad Regulacji Energetyki,2016
oleśnicki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.32,1,Urzad Regulacji Energetyki,2016
oleśnicki,Renewable energy,Bioenergy,Biomass and biogas,,1.698,1,Urzad Regulacji Energetyki,2016
olkuski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.73,1,Urzad Regulacji Energetyki,2016
olkuski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.303,1,Urzad Regulacji Energetyki,2016
olkuski,Renewable energy,Hydro,,Hydro,0.068,1,Urzad Regulacji Energetyki,2016
olsztyński,Renewable energy,Bioenergy,Sewage and landfill gas,,0.8,1,Urzad Regulacji Energetyki,2016
olsztyński,Renewable energy,Bioenergy,Biomass and biogas,,1.2,1,Urzad Regulacji Energetyki,2016
olsztyński,Renewable energy,Solar,,Photovoltaics,2.683,6,Urzad Regulacji Energetyki,2016
olsztyński,Renewable energy,Wind,,Onshore,1.7,2,Urzad Regulacji Energetyki,2016
olsztyński,Renewable energy,Hydro,,Hydro,0.941,14,Urzad Regulacji Energetyki,2016
olsztyński,Renewable energy,Hydro,,Hydro,2.7,1,Urzad Regulacji Energetyki,2016
olsztyński,Renewable energy,Bioenergy,Sewage and landfill gas,,0.802,1,Urzad Regulacji Energetyki,2016
opatowski,Renewable energy,Wind,,Onshore,0.25,1,Urzad Regulacji Energetyki,2016
opoczyński,Renewable energy,Bioenergy,Biomass and biogas,,0.86,1,Urzad Regulacji Energetyki,2016
opoczyński,Renewable energy,Wind,,Onshore,1.6,1,Urzad Regulacji Energetyki,2016
opoczyński,Renewable energy,Hydro,,Hydro,0.291,4,Urzad Regulacji Energetyki,2016
opolski,Renewable energy,Solar,,Photovoltaics,1.11,3,Urzad Regulacji Energetyki,2016
opolski,Renewable energy,Solar,,Photovoltaics,0.001,1,Urzad Regulacji Energetyki,2016
opolski,Renewable energy,Hydro,,Hydro,1.0,1,Urzad Regulacji Energetyki,2016
opolski,Renewable energy,Hydro,,Hydro,0.098,3,Urzad Regulacji Energetyki,2016
opolski,Renewable energy,Hydro,,Hydro,3.4,2,Urzad Regulacji Energetyki,2016
opolski,Renewable energy,Hydro,,Hydro,0.154,4,Urzad Regulacji Energetyki,2016
opolski,Renewable energy,Bioenergy,Biomass and biogas,,0.0,2,Urzad Regulacji Energetyki,2016
ostrowiecki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.18,1,Urzad Regulacji Energetyki,2016
ostrowiecki,Renewable energy,Solar,,Photovoltaics,0.049,2,Urzad Regulacji Energetyki,2016
ostrowiecki,Renewable energy,Hydro,,Hydro,0.679,5,Urzad Regulacji Energetyki,2016
ostrowiecki,Renewable energy,Wind,,Onshore,1.5,3,Urzad Regulacji Energetyki,2016
ostrowski,Renewable energy,Wind,,Onshore,25.0,18,Urzad Regulacji Energetyki,2016
ostrowski,Renewable energy,Solar,,Photovoltaics,0.05,5,Urzad Regulacji Energetyki,2016
ostrowski,Renewable energy,Bioenergy,Biomass and biogas,,1.5,1,Urzad Regulacji Energetyki,2016
ostrowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.1,1,Urzad Regulacji Energetyki,2016
ostrowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.384,1,Urzad Regulacji Energetyki,2016
ostrołęcki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.17,1,Urzad Regulacji Energetyki,2016
ostrołęcki,Renewable energy,Wind,,Onshore,4.0,2,Urzad Regulacji Energetyki,2016
ostrołęcki,Renewable energy,Hydro,,Hydro,0.115,1,Urzad Regulacji Energetyki,2016
ostrzeszowski,Renewable energy,Bioenergy,Biomass and biogas,,0.99,1,Urzad Regulacji Energetyki,2016
ostrzeszowski,Renewable energy,Wind,,Onshore,3.4,2,Urzad Regulacji Energetyki,2016
ostrzeszowski,Renewable energy,Solar,,Photovoltaics,3.0,2,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.4,1,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Bioenergy,Biomass and biogas,,0.25,1,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.69,1,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Solar,,Photovoltaics,0.127,2,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Wind,,Onshore,0.12,2,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Bioenergy,Biomass and biogas,,0.22,1,Urzad Regulacji Energetyki,2016
otwocki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.804,1,Urzad Regulacji Energetyki,2016
otwocki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.64,1,Urzad Regulacji Energetyki,2016
otwocki,Renewable energy,Solar,,Photovoltaics,0.027,1,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Wind,,Onshore,9.2,3,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Solar,,Photovoltaics,0.036,1,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.4,1,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Bioenergy,Biomass and biogas,,1.2,1,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Hydro,,Hydro,3.2,1,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Hydro,,Hydro,1.08,2,Urzad Regulacji Energetyki,2016
oświęcimski,Renewable energy,Solar,,Photovoltaics,0.04,2,Urzad Regulacji Energetyki,2016
oświęcimski,Renewable energy,Hydro,,Hydro,2.2,1,Urzad Regulacji Energetyki,2016
oświęcimski,Renewable energy,Hydro,,Hydro,0.945,1,Urzad Regulacji Energetyki,2016
oświęcimski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.55,2,Urzad Regulacji Energetyki,2016
oświęcimski,Renewable energy,Hydro,,Hydro,0.095,2,Urzad Regulacji Energetyki,2016
pabianicki,Renewable energy,Hydro,,Hydro,0.345,4,Urzad Regulacji Energetyki,2016
pabianicki,Renewable energy,Wind,,Onshore,3.055,5,Urzad Regulacji Energetyki,2016
pajęczański,Renewable energy,Hydro,,Hydro,0.112,2,Urzad Regulacji Energetyki,2016
pajęczański,Renewable energy,Wind,,Onshore,23.249,13,Urzad Regulacji Energetyki,2016
pajęczański,Renewable energy,Solar,,Photovoltaics,0.15,1,Urzad Regulacji Energetyki,2016
parczewski,Renewable energy,Hydro,,Hydro,0.022,1,Urzad Regulacji Energetyki,2016
parczewski,Renewable energy,Bioenergy,Biomass and biogas,,3.6,2,Urzad Regulacji Energetyki,2016
piaseczyński,Renewable energy,Wind,,Onshore,0.25,1,Urzad Regulacji Energetyki,2016
piaseczyński,Renewable energy,Bioenergy,Sewage and landfill gas,,2.799,2,Urzad Regulacji Energetyki,2016
piaseczyński,Renewable energy,Bioenergy,Sewage and landfill gas,,0.32,1,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Hydro,,Hydro,3.19,2,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Hydro,,Hydro,0.32,1,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Hydro,,Hydro,0.332,6,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Solar,,Photovoltaics,0.002,1,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.4,1,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Bioenergy,Biomass and biogas,,0.526,1,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Wind,,Onshore,0.9,1,Urzad Regulacji Energetyki,2016
piotrkowski,Renewable energy,Wind,,Onshore,51.95,27,Urzad Regulacji Energetyki,2016
piotrkowski,Renewable energy,Hydro,,Hydro,0.165,4,Urzad Regulacji Energetyki,2016
pińczowski,Renewable energy,Hydro,,Hydro,0.111,2,Urzad Regulacji Energetyki,2016
pleszewski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.856,2,Urzad Regulacji Energetyki,2016
pleszewski,Renewable energy,Wind,,Onshore,45.5,9,Urzad Regulacji Energetyki,2016
pleszewski,Renewable energy,Hydro,,Hydro,0.3,1,Urzad Regulacji Energetyki,2016
poddębicki,Renewable energy,Wind,,Onshore,12.59,17,Urzad Regulacji Energetyki,2016
poddębicki,Renewable energy,Hydro,,Hydro,4.0,1,Urzad Regulacji Energetyki,2016
poddębicki,Renewable energy,Hydro,,Hydro,0.367,6,Urzad Regulacji Energetyki,2016
policki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.36,1,Urzad Regulacji Energetyki,2016
policki,Renewable energy,Wind,,Onshore,0.6,1,Urzad Regulacji Energetyki,2016
polkowicki,Renewable energy,Bioenergy,Biomass and biogas,,0.499,1,Urzad Regulacji Energetyki,2016
polkowicki,Renewable energy,Solar,,Photovoltaics,1.124,2,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Hydro,,Hydro,0.045,1,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Wind,,Onshore,1.0,1,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Solar,,Photovoltaics,0.121,3,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Bioenergy,Sewage and landfill gas,,1.724,3,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Bioenergy,Biomass and biogas,,1.08,2,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Bioenergy,Sewage and landfill gas,,2.793,1,Urzad Regulacji Energetyki,2016
proszowicki,Renewable energy,Wind,,Onshore,1.35,4,Urzad Regulacji Energetyki,2016
proszowicki,Renewable energy,Hydro,,Hydro,0.28,5,Urzad Regulacji Energetyki,2016
prudnicki,Renewable energy,Hydro,,Hydro,0.063,2,Urzad Regulacji Energetyki,2016
pruszkowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.64,1,Urzad Regulacji Energetyki,2016
pruszkowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.72,1,Urzad Regulacji Energetyki,2016
przasnyski,Renewable energy,Solar,,Photovoltaics,0.04,1,Urzad Regulacji Energetyki,2016
przemyski,Renewable energy,Wind,,Onshore,18.6,4,Urzad Regulacji Energetyki,2016
przeworski,Renewable energy,Hydro,,Hydro,0.097,1,Urzad Regulacji Energetyki,2016
przeworski,Renewable energy,Wind,,Onshore,67.5,1,Urzad Regulacji Energetyki,2016
przysuski,Renewable energy,Wind,,Onshore,0.85,1,Urzad Regulacji Energetyki,2016
przysuski,Renewable energy,Solar,,Photovoltaics,0.054,2,Urzad Regulacji Energetyki,2016
pszczyński,Renewable energy,Bioenergy,Biomass and biogas,,0.04,1,Urzad Regulacji Energetyki,2016
pszczyński,Renewable energy,Bioenergy,Sewage and landfill gas,,0.1,1,Urzad Regulacji Energetyki,2016
pucki,Renewable energy,Hydro,,Hydro,0.024,2,Urzad Regulacji Energetyki,2016
pucki,Renewable energy,Bioenergy,Sewage and landfill gas,,1.4,2,Urzad Regulacji Energetyki,2016
pucki,Renewable energy,Wind,,Onshore,46.0,5,Urzad Regulacji Energetyki,2016
puławski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.37,1,Urzad Regulacji Energetyki,2016
puławski,Renewable energy,Solar,,Photovoltaics,1.0,1,Urzad Regulacji Energetyki,2016
puławski,Renewable energy,Hydro,,Hydro,0.055,1,Urzad Regulacji Energetyki,2016
pyrzycki,Renewable energy,Wind,,Onshore,111.0,2,Urzad Regulacji Energetyki,2016
płocki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.5,1,Urzad Regulacji Energetyki,2016
płocki,Renewable energy,Hydro,,Hydro,0.075,1,Urzad Regulacji Energetyki,2016
płocki,Renewable energy,Wind,,Onshore,17.75,10,Urzad Regulacji Energetyki,2016
płocki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.752,3,Urzad Regulacji Energetyki,2016
płoński,Renewable energy,Hydro,,Hydro,0.375,1,Urzad Regulacji Energetyki,2016
płoński,Renewable energy,Hydro,,Hydro,0.11,1,Urzad Regulacji Energetyki,2016
płoński,Renewable energy,Wind,,Onshore,11.7,7,Urzad Regulacji Energetyki,2016
płoński,Renewable energy,Bioenergy,Sewage and landfill gas,,0.5,1,Urzad Regulacji Energetyki,2016
płoński,Renewable energy,Bioenergy,Biomass and biogas,,1.56,1,Urzad Regulacji Energetyki,2016
płoński,Renewable energy,Bioenergy,Biomass and biogas,,2.08,1,Urzad Regulacji Energetyki,2016
raciborski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.18,1,Urzad Regulacji Energetyki,2016
raciborski,Renewable energy,Solar,,Photovoltaics,0.02,1,Urzad Regulacji Energetyki,2016
raciborski,Renewable energy,Wind,,Onshore,5.0,2,Urzad Regulacji Energetyki,2016
raciborski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.19,1,Urzad Regulacji Energetyki,2016
radomski,Renewable energy,Hydro,,Hydro,0.555,7,Urzad Regulacji Energetyki,2016
radomski,Renewable energy,Wind,,Onshore,63.765,5,Urzad Regulacji Energetyki,2016
radomszczański,Renewable energy,Bioenergy,Biomass and biogas,,1.2,1,Urzad Regulacji Energetyki,2016
radomszczański,Renewable energy,Wind,,Onshore,56.535,26,Urzad Regulacji Energetyki,2016
radziejowski,Renewable energy,Wind,,Onshore,95.135,41,Urzad Regulacji Energetyki,2016
radziejowski,Renewable energy,Solar,,Photovoltaics,0.305,2,Urzad Regulacji Energetyki,2016
radzyński,Renewable energy,Hydro,,Hydro,0.092,2,Urzad Regulacji Energetyki,2016
rawicki,Renewable energy,Solar,,Photovoltaics,0.095,2,Urzad Regulacji Energetyki,2016
rawicki,Renewable energy,Wind,,Onshore,5.0,1,Urzad Regulacji Energetyki,2016
rawski,Renewable energy,Hydro,,Hydro,0.09,1,Urzad Regulacji Energetyki,2016
rawski,Renewable energy,Wind,,Onshore,22.0,1,Urzad Regulacji Energetyki,2016
rawski,Renewable energy,Bioenergy,Biomass and biogas,,1.998,1,Urzad Regulacji Energetyki,2016
ropczycko-sędziszowski,Renewable energy,Solar,,Photovoltaics,0.069,3,Urzad Regulacji Energetyki,2016
ropczycko-sędziszowski,Renewable energy,Bioenergy,Sewage and landfill gas,,1.377,1,Urzad Regulacji Energetyki,2016
rybnicki,Renewable energy,Solar,,Photovoltaics,0.02,1,Urzad Regulacji Energetyki,2016
rycki,Renewable energy,Hydro,,Hydro,0.04,1,Urzad Regulacji Energetyki,2016
rycki,Renewable energy,Wind,,Onshore,0.15,1,Urzad Regulacji Energetyki,2016
rycki,Renewable energy,Solar,,Photovoltaics,1.312,1,Urzad Regulacji Energetyki,2016
rypiński,Renewable energy,Bioenergy,Biomass and biogas,,1.965,2,Urzad Regulacji Energetyki,2016
rypiński,Renewable energy,Bioenergy,Sewage and landfill gas,,0.08,1,Urzad Regulacji Energetyki,2016
rypiński,Renewable energy,Wind,,Onshore,18.35,14,Urzad Regulacji Energetyki,2016
rzeszowski,Renewable energy,Wind,,Onshore,0.25,1,Urzad Regulacji Energetyki,2016
rzeszowski,Renewable energy,Solar,,Photovoltaics,0.68,2,Urzad Regulacji Energetyki,2016
sandomierski,Renewable energy,Wind,,Onshore,3.455,4,Urzad Regulacji Energetyki,2016
sandomierski,Renewable energy,Hydro,,Hydro,0.087,3,Urzad Regulacji Energetyki,2016
sanocki,Renewable energy,Bioenergy,Biomass and biogas,,0.5,1,Urzad Regulacji Energetyki,2016
sanocki,Renewable energy,Solar,,Photovoltaics,0.048,2,Urzad Regulacji Energetyki,2016
sanocki,Renewable energy,Wind,,Onshore,18.0,1,Urzad Regulacji Energetyki,2016
siedlecki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.228,1,Urzad Regulacji Energetyki,2016
siemiatycki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.19,1,Urzad Regulacji Energetyki,2016
sieradzki,Renewable energy,Wind,,Onshore,106.8,23,Urzad Regulacji Energetyki,2016
sierpecki,Renewable energy,Hydro,,Hydro,0.167,3,Urzad Regulacji Energetyki,2016
sierpecki,Renewable energy,Wind,,Onshore,15.2,6,Urzad Regulacji Energetyki,2016
skarżyski,Renewable energy,Hydro,,Hydro,0.03,1,Urzad Regulacji Energetyki,2016
skierniewicki,Renewable energy,Hydro,,Hydro,0.326,5,Urzad Regulacji Energetyki,2016
