district,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,electrical_capacity,number_of_installations,data_source,as_of_year
skierniewicki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.19,1,Urzad Regulacji Energetyki,2016
skierniewicki,Renewable energy,Wind,,Onshore,84.6,7,Urzad Regulacji Energetyki,2016
sochaczewski,Renewable energy,Wind,,Onshore,0.75,1,Urzad Regulacji Energetyki,2016
sokołowski,Renewable energy,Wind,,Onshore,6.0,3,Urzad Regulacji Energetyki,2016
sokołowski,Renewable energy,Bioenergy,Biomass and biogas,,0.7,1,Urzad Regulacji Energetyki,2016
sokólski,Renewable energy,Bioenergy,Biomass and biogas,,1.099,2,Urzad Regulacji Energetyki,2016
sokólski,Renewable energy,Wind,,Onshore,4.1,3,Urzad Regulacji Energetyki,2016
stalowowolski,Renewable energy,Hydro,,Hydro,0.04,1,Urzad Regulacji Energetyki,2016
stalowowolski,Renewable energy,Solar,,Photovoltaics,0.099,1,Urzad Regulacji Energetyki,2016
stalowowolski,Renewable energy,Bioenergy,Biomass and biogas,,30.0,1,Urzad Regulacji Energetyki,2016
stalowowolski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.527,1,Urzad Regulacji Energetyki,2016
stalowowolski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.208,1,Urzad Regulacji Energetyki,2016
stalowowolski,Renewable energy,Bioenergy,Biomass and biogas,,0.0,2,Urzad Regulacji Energetyki,2016
stalowowolski,Renewable energy,Wind,,Onshore,0.675,1,Urzad Regulacji Energetyki,2016
starachowicki,Renewable energy,Solar,,Photovoltaics,0.022,2,Urzad Regulacji Energetyki,2016
starachowicki,Renewable energy,Hydro,,Hydro,0.45,1,Urzad Regulacji Energetyki,2016
starachowicki,Renewable energy,Hydro,,Hydro,0.185,2,Urzad Regulacji Energetyki,2016
starachowicki,Renewable energy,Wind,,Onshore,10.0,1,Urzad Regulacji Energetyki,2016
stargardzki,Renewable energy,Solar,,Photovoltaics,0.189,1,Urzad Regulacji Energetyki,2016
stargardzki,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
stargardzki,Renewable energy,Hydro,,Hydro,0.253,6,Urzad Regulacji Energetyki,2016
stargardzki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.2,1,Urzad Regulacji Energetyki,2016
stargardzki,Renewable energy,Wind,,Onshore,66.65,4,Urzad Regulacji Energetyki,2016
starogardzki,Renewable energy,Hydro,,Hydro,0.82,2,Urzad Regulacji Energetyki,2016
starogardzki,Renewable energy,Hydro,,Hydro,1.435,9,Urzad Regulacji Energetyki,2016
staszowski,Renewable energy,Bioenergy,Biomass and biogas,,230.0,1,Urzad Regulacji Energetyki,2016
staszowski,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
staszowski,Renewable energy,Hydro,,Hydro,0.376,6,Urzad Regulacji Energetyki,2016
strzelecki,Renewable energy,Solar,,Photovoltaics,0.764,2,Urzad Regulacji Energetyki,2016
strzelecki,Renewable energy,Wind,,Onshore,0.45,1,Urzad Regulacji Energetyki,2016
strzelecki,Renewable energy,Hydro,,Hydro,0.213,3,Urzad Regulacji Energetyki,2016
strzelecko-drezdenecki,Renewable energy,Solar,,Photovoltaics,0.039,1,Urzad Regulacji Energetyki,2016
strzelecko-drezdenecki,Renewable energy,Hydro,,Hydro,1.92,2,Urzad Regulacji Energetyki,2016
strzelecko-drezdenecki,Renewable energy,Wind,,Onshore,6.0,1,Urzad Regulacji Energetyki,2016
strzelecko-drezdenecki,Renewable energy,Hydro,,Hydro,0.039,1,Urzad Regulacji Energetyki,2016
strzeliński,Renewable energy,Hydro,,Hydro,0.037,1,Urzad Regulacji Energetyki,2016
strzeliński,Renewable energy,Bioenergy,Biomass and biogas,,2.0,1,Urzad Regulacji Energetyki,2016
strzyżowski,Renewable energy,Solar,,Photovoltaics,0.013,2,Urzad Regulacji Energetyki,2016
sulęciński,Renewable energy,Hydro,,Hydro,0.067,4,Urzad Regulacji Energetyki,2016
suski,Renewable energy,Hydro,,Hydro,0.042,1,Urzad Regulacji Energetyki,2016
suwalski,Renewable energy,Hydro,,Hydro,0.06,2,Urzad Regulacji Energetyki,2016
suwalski,Renewable energy,Solar,,Photovoltaics,0.098,1,Urzad Regulacji Energetyki,2016
suwalski,Renewable energy,Wind,,Onshore,115.56,15,Urzad Regulacji Energetyki,2016
szamotulski,Renewable energy,Wind,,Onshore,1.0,1,Urzad Regulacji Energetyki,2016
szczecinecki,Renewable energy,Bioenergy,Biomass and biogas,,1.6,1,Urzad Regulacji Energetyki,2016
szczecinecki,Renewable energy,Hydro,,Hydro,0.213,3,Urzad Regulacji Energetyki,2016
szczecinecki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.16,1,Urzad Regulacji Energetyki,2016
szczecinecki,Renewable energy,Wind,,Onshore,3.65,2,Urzad Regulacji Energetyki,2016
szczecinecki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.25,1,Urzad Regulacji Energetyki,2016
szczecinecki,Renewable energy,Solar,,Photovoltaics,0.039,1,Urzad Regulacji Energetyki,2016
szczycieński,Renewable energy,Solar,,Photovoltaics,1.419,4,Urzad Regulacji Energetyki,2016
szczycieński,Renewable energy,Hydro,,Hydro,0.055,2,Urzad Regulacji Energetyki,2016
sztumski,Renewable energy,Hydro,,Hydro,0.08,2,Urzad Regulacji Energetyki,2016
sztumski,Renewable energy,Wind,,Onshore,67.3,6,Urzad Regulacji Energetyki,2016
szydłowiecki,Renewable energy,Wind,,Onshore,2.6,2,Urzad Regulacji Energetyki,2016
szydłowiecki,Renewable energy,Solar,,Photovoltaics,0.019,1,Urzad Regulacji Energetyki,2016
sępoleński,Renewable energy,Wind,,Onshore,8.0,2,Urzad Regulacji Energetyki,2016
sławieński,Renewable energy,Hydro,,Hydro,0.602,5,Urzad Regulacji Energetyki,2016
sławieński,Renewable energy,Wind,,Onshore,511.888,43,Urzad Regulacji Energetyki,2016
słubicki,Renewable energy,Wind,,Onshore,97.3,3,Urzad Regulacji Energetyki,2016
słubicki,Renewable energy,Hydro,,Hydro,0.223,5,Urzad Regulacji Energetyki,2016
słupecki,Renewable energy,Wind,,Onshore,26.86,13,Urzad Regulacji Energetyki,2016
słupski,Renewable energy,Bioenergy,Biomass and biogas,,2.4,1,Urzad Regulacji Energetyki,2016
słupski,Renewable energy,Hydro,,Hydro,2.4,1,Urzad Regulacji Energetyki,2016
słupski,Renewable energy,Wind,,Onshore,149.2,12,Urzad Regulacji Energetyki,2016
słupski,Renewable energy,Solar,,Photovoltaics,0.199,1,Urzad Regulacji Energetyki,2016
słupski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.2,1,Urzad Regulacji Energetyki,2016
słupski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.091,1,Urzad Regulacji Energetyki,2016
słupski,Renewable energy,Hydro,,Hydro,2.632,5,Urzad Regulacji Energetyki,2016
słupski,Renewable energy,Hydro,,Hydro,0.945,9,Urzad Regulacji Energetyki,2016
tarnobrzeski,Renewable energy,Solar,,Photovoltaics,0.66,1,Urzad Regulacji Energetyki,2016
tarnowski,Renewable energy,Solar,,Photovoltaics,2.031,6,Urzad Regulacji Energetyki,2016
tatrzański,Renewable energy,Hydro,,Hydro,0.93,6,Urzad Regulacji Energetyki,2016
tatrzański,Renewable energy,Hydro,,Hydro,0.33,1,Urzad Regulacji Energetyki,2016
tczewski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.6,1,Urzad Regulacji Energetyki,2016
tczewski,Renewable energy,Hydro,,Hydro,0.326,4,Urzad Regulacji Energetyki,2016
tczewski,Renewable energy,Hydro,,Hydro,0.5,1,Urzad Regulacji Energetyki,2016
tczewski,Renewable energy,Wind,,Onshore,67.0,5,Urzad Regulacji Energetyki,2016
tomaszowski,Renewable energy,Hydro,,Hydro,0.067,1,Urzad Regulacji Energetyki,2016
tomaszowski,Renewable energy,Wind,,Onshore,77.1,3,Urzad Regulacji Energetyki,2016
tomaszowski,Renewable energy,Solar,,Photovoltaics,2.931,4,Urzad Regulacji Energetyki,2016
tomaszowski,Renewable energy,Hydro,,Hydro,3.564,1,Urzad Regulacji Energetyki,2016
tomaszowski,Renewable energy,Solar,,Photovoltaics,0.039,1,Urzad Regulacji Energetyki,2016
tomaszowski,Renewable energy,Wind,,Onshore,4.85,6,Urzad Regulacji Energetyki,2016
tomaszowski,Renewable energy,Hydro,,Hydro,0.232,3,Urzad Regulacji Energetyki,2016
toruński,Renewable energy,Hydro,,Hydro,0.033,1,Urzad Regulacji Energetyki,2016
toruński,Renewable energy,Wind,,Onshore,12.26,8,Urzad Regulacji Energetyki,2016
toruński,Renewable energy,Solar,,Photovoltaics,3.77,2,Urzad Regulacji Energetyki,2016
trzebnicki,Renewable energy,Solar,,Photovoltaics,0.02,1,Urzad Regulacji Energetyki,2016
tucholski,Renewable energy,Hydro,,Hydro,0.53,1,Urzad Regulacji Energetyki,2016
tucholski,Renewable energy,Hydro,,Hydro,0.123,4,Urzad Regulacji Energetyki,2016
tucholski,Renewable energy,Wind,,Onshore,7.7,4,Urzad Regulacji Energetyki,2016
turecki,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
turecki,Renewable energy,Wind,,Onshore,5.635,8,Urzad Regulacji Energetyki,2016
turecki,Renewable energy,Solar,,Photovoltaics,1.039,2,Urzad Regulacji Energetyki,2016
turecki,Renewable energy,Bioenergy,Biomass and biogas,,1.897,1,Urzad Regulacji Energetyki,2016
wadowicki,Renewable energy,Hydro,,Hydro,8.31,2,Urzad Regulacji Energetyki,2016
wadowicki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.198,1,Urzad Regulacji Energetyki,2016
wadowicki,Renewable energy,Bioenergy,Biomass and biogas,,3.15,1,Urzad Regulacji Energetyki,2016
wadowicki,Renewable energy,Solar,,Photovoltaics,0.037,1,Urzad Regulacji Energetyki,2016
wadowicki,Renewable energy,Wind,,Onshore,0.099,1,Urzad Regulacji Energetyki,2016
warszawski zachodni,Renewable energy,Wind,,Onshore,0.225,1,Urzad Regulacji Energetyki,2016
warszawski zachodni,Renewable energy,Bioenergy,Sewage and landfill gas,,0.823,2,Urzad Regulacji Energetyki,2016
wałbrzyski,Renewable energy,Solar,,Photovoltaics,0.029,2,Urzad Regulacji Energetyki,2016
wałecki,Renewable energy,Bioenergy,Biomass and biogas,,7.23,1,Urzad Regulacji Energetyki,2016
wałecki,Renewable energy,Bioenergy,Biomass and biogas,,0.999,1,Urzad Regulacji Energetyki,2016
wałecki,Renewable energy,Hydro,,Hydro,0.09,1,Urzad Regulacji Energetyki,2016
wałecki,Renewable energy,Wind,,Onshore,7.21,5,Urzad Regulacji Energetyki,2016
wejherowski,Renewable energy,Hydro,,Hydro,0.534,10,Urzad Regulacji Energetyki,2016
wejherowski,Renewable energy,Wind,,Onshore,22.65,9,Urzad Regulacji Energetyki,2016
wejherowski,Renewable energy,Bioenergy,Sewage and landfill gas,,2.471,2,Urzad Regulacji Energetyki,2016
wielicki,Renewable energy,Solar,,Photovoltaics,0.061,2,Urzad Regulacji Energetyki,2016
wieluński,Renewable energy,Wind,,Onshore,30.32,15,Urzad Regulacji Energetyki,2016
wieruszowski,Renewable energy,Hydro,,Hydro,0.314,3,Urzad Regulacji Energetyki,2016
wieruszowski,Renewable energy,Wind,,Onshore,0.095,1,Urzad Regulacji Energetyki,2016
wodzisławski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.154,1,Urzad Regulacji Energetyki,2016
wodzisławski,Renewable energy,Solar,,Photovoltaics,0.02,1,Urzad Regulacji Energetyki,2016
wolsztyński,Renewable energy,Solar,,Photovoltaics,0.068,2,Urzad Regulacji Energetyki,2016
wolsztyński,Renewable energy,Wind,,Onshore,2.49,2,Urzad Regulacji Energetyki,2016
wołomiński,Renewable energy,Wind,,Onshore,0.75,1,Urzad Regulacji Energetyki,2016
wołomiński,Renewable energy,Bioenergy,Sewage and landfill gas,,0.242,1,Urzad Regulacji Energetyki,2016
wołomiński,Renewable energy,Bioenergy,Sewage and landfill gas,,0.123,1,Urzad Regulacji Energetyki,2016
wołowski,Renewable energy,Hydro,,Hydro,9.72,1,Urzad Regulacji Energetyki,2016
wrocławski,Renewable energy,Hydro,,Hydro,1.52,1,Urzad Regulacji Energetyki,2016
wrocławski,Renewable energy,Hydro,,Hydro,0.217,4,Urzad Regulacji Energetyki,2016
wrocławski,Renewable energy,Bioenergy,Biomass and biogas,,100.0,1,Urzad Regulacji Energetyki,2016
wrocławski,Renewable energy,Bioenergy,Biomass and biogas,,1.726,2,Urzad Regulacji Energetyki,2016
wrzesiński,Renewable energy,Wind,,Onshore,22.35,12,Urzad Regulacji Energetyki,2016
wrzesiński,Renewable energy,Solar,,Photovoltaics,0.09,3,Urzad Regulacji Energetyki,2016
wschowski,Renewable energy,Solar,,Photovoltaics,0.22,2,Urzad Regulacji Energetyki,2016
wysokomazowiecki,Renewable energy,Hydro,,Hydro,0.16,3,Urzad Regulacji Energetyki,2016
wysokomazowiecki,Renewable energy,Wind,,Onshore,5.6,4,Urzad Regulacji Energetyki,2016
wysokomazowiecki,Renewable energy,Solar,,Photovoltaics,0.041,1,Urzad Regulacji Energetyki,2016
wysokomazowiecki,Renewable energy,Bioenergy,Biomass and biogas,,1.9,2,Urzad Regulacji Energetyki,2016
wysokomazowiecki,Renewable energy,Bioenergy,Sewage and landfill gas,,1.6,1,Urzad Regulacji Energetyki,2016
wyszkowski,Renewable energy,Wind,,Onshore,0.3,1,Urzad Regulacji Energetyki,2016
wąbrzeski,Renewable energy,Wind,,Onshore,7.2,6,Urzad Regulacji Energetyki,2016
wąbrzeski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.382,1,Urzad Regulacji Energetyki,2016
wąbrzeski,Renewable energy,Solar,,Photovoltaics,0.024,1,Urzad Regulacji Energetyki,2016
wągrowiecki,Renewable energy,Solar,,Photovoltaics,0.04,1,Urzad Regulacji Energetyki,2016
wągrowiecki,Renewable energy,Wind,,Onshore,88.55,5,Urzad Regulacji Energetyki,2016
węgorzewski,Renewable energy,Hydro,,Hydro,0.4,1,Urzad Regulacji Energetyki,2016
węgorzewski,Renewable energy,Hydro,,Hydro,0.17,1,Urzad Regulacji Energetyki,2016
węgorzewski,Renewable energy,Solar,,Photovoltaics,1.0,1,Urzad Regulacji Energetyki,2016
węgrowski,Renewable energy,Bioenergy,Biomass and biogas,,0.999,1,Urzad Regulacji Energetyki,2016
węgrowski,Renewable energy,Solar,,Photovoltaics,0.04,1,Urzad Regulacji Energetyki,2016
węgrowski,Renewable energy,Wind,,Onshore,82.5,1,Urzad Regulacji Energetyki,2016
węgrowski,Renewable energy,Hydro,,Hydro,0.219,2,Urzad Regulacji Energetyki,2016
włocławski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.313,1,Urzad Regulacji Energetyki,2016
włocławski,Renewable energy,Wind,,Onshore,35.625,39,Urzad Regulacji Energetyki,2016
włocławski,Renewable energy,Hydro,,Hydro,0.112,2,Urzad Regulacji Energetyki,2016
włodawski,Renewable energy,Bioenergy,Biomass and biogas,,1.063,1,Urzad Regulacji Energetyki,2016
włodawski,Renewable energy,Solar,,Photovoltaics,3.56,4,Urzad Regulacji Energetyki,2016
włoszczowski,Renewable energy,Hydro,,Hydro,0.015,1,Urzad Regulacji Energetyki,2016
włoszczowski,Renewable energy,Wind,,Onshore,0.8,4,Urzad Regulacji Energetyki,2016
włoszczowski,Renewable energy,Bioenergy,Biomass and biogas,,1.9,1,Urzad Regulacji Energetyki,2016
zambrowski,Renewable energy,Solar,,Photovoltaics,0.998,1,Urzad Regulacji Energetyki,2016
zamojski,Renewable energy,Hydro,,Hydro,0.37,1,Urzad Regulacji Energetyki,2016
zamojski,Renewable energy,Hydro,,Hydro,0.302,5,Urzad Regulacji Energetyki,2016
zamojski,Renewable energy,Solar,,Photovoltaics,0.039,4,Urzad Regulacji Energetyki,2016
zawierciański,Renewable energy,Hydro,,Hydro,0.06,2,Urzad Regulacji Energetyki,2016
zawierciański,Renewable energy,Solar,,Photovoltaics,0.129,4,Urzad Regulacji Energetyki,2016
zawierciański,Renewable energy,Bioenergy,Sewage and landfill gas,,0.25,1,Urzad Regulacji Energetyki,2016
zawierciański,Renewable energy,Bioenergy,Biomass and biogas,,0.6,1,Urzad Regulacji Energetyki,2016
zawierciański,Renewable energy,Bioenergy,Sewage and landfill gas,,0.5,1,Urzad Regulacji Energetyki,2016
zduńskowolski,Renewable energy,Solar,,Photovoltaics,0.573,3,Urzad Regulacji Energetyki,2016
zduńskowolski,Renewable energy,Wind,,Onshore,21.45,17,Urzad Regulacji Energetyki,2016
zduńskowolski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.365,1,Urzad Regulacji Energetyki,2016
zgierski,Renewable energy,Hydro,,Hydro,0.174,4,Urzad Regulacji Energetyki,2016
zgierski,Renewable energy,Wind,,Onshore,3.905,3,Urzad Regulacji Energetyki,2016
zgierski,Renewable energy,Solar,,Photovoltaics,0.04,1,Urzad Regulacji Energetyki,2016
zgorzelecki,Renewable energy,Wind,,Onshore,50.0,2,Urzad Regulacji Energetyki,2016
zgorzelecki,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
zgorzelecki,Renewable energy,Hydro,,Hydro,0.75,2,Urzad Regulacji Energetyki,2016
zgorzelecki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.24,1,Urzad Regulacji Energetyki,2016
zgorzelecki,Renewable energy,Hydro,,Hydro,0.162,3,Urzad Regulacji Energetyki,2016
zielonogórski,Renewable energy,Hydro,,Hydro,0.03,1,Urzad Regulacji Energetyki,2016
zielonogórski,Renewable energy,Solar,,Photovoltaics,0.045,2,Urzad Regulacji Energetyki,2016
zielonogórski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.5,1,Urzad Regulacji Energetyki,2016
zielonogórski,Renewable energy,Bioenergy,Biomass and biogas,,2.14,2,Urzad Regulacji Energetyki,2016
zwoleński,Renewable energy,Hydro,,Hydro,0.055,1,Urzad Regulacji Energetyki,2016
zwoleński,Renewable energy,Wind,,Onshore,1.25,2,Urzad Regulacji Energetyki,2016
ząbkowicki,Renewable energy,Hydro,,Hydro,1.04,2,Urzad Regulacji Energetyki,2016
ząbkowicki,Renewable energy,Hydro,,Hydro,1.56,1,Urzad Regulacji Energetyki,2016
złotoryjski,Renewable energy,Wind,,Onshore,64.0,3,Urzad Regulacji Energetyki,2016
złotoryjski,Renewable energy,Hydro,,Hydro,0.088,2,Urzad Regulacji Energetyki,2016
złotowski,Renewable energy,Wind,,Onshore,16.35,4,Urzad Regulacji Energetyki,2016
złotowski,Renewable energy,Hydro,,Hydro,0.558,7,Urzad Regulacji Energetyki,2016
złotowski,Renewable energy,Hydro,,Hydro,0.5,1,Urzad Regulacji Energetyki,2016
złotowski,Renewable energy,Hydro,,Hydro,5.5,3,Urzad Regulacji Energetyki,2016
złotowski,Renewable energy,Solar,,Photovoltaics,0.04,1,Urzad Regulacji Energetyki,2016
Łomża,Renewable energy,Bioenergy,Sewage and landfill gas,,0.37,1,Urzad Regulacji Energetyki,2016
Łódź,Renewable energy,Bioenergy,Biomass and biogas,,48.0,1,Urzad Regulacji Energetyki,2016
Łódź,Renewable energy,Solar,,Photovoltaics,0.499,4,Urzad Regulacji Energetyki,2016
Łódź,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
Łódź,Renewable energy,Bioenergy,Sewage and landfill gas,,2.799,1,Urzad Regulacji Energetyki,2016
łaski,Renewable energy,Hydro,,Hydro,0.18,3,Urzad Regulacji Energetyki,2016
łaski,Renewable energy,Solar,,Photovoltaics,0.005,1,Urzad Regulacji Energetyki,2016
łaski,Renewable energy,Wind,,Onshore,15.28,14,Urzad Regulacji Energetyki,2016
łańcucki,Renewable energy,Solar,,Photovoltaics,0.01,1,Urzad Regulacji Energetyki,2016
łobeski,Renewable energy,Bioenergy,Biomass and biogas,,2.599,2,Urzad Regulacji Energetyki,2016
łobeski,Renewable energy,Hydro,,Hydro,0.807,11,Urzad Regulacji Energetyki,2016
łobeski,Renewable energy,Wind,,Onshore,96.0,4,Urzad Regulacji Energetyki,2016
łomżyński,Renewable energy,Wind,,Onshore,2.0,1,Urzad Regulacji Energetyki,2016
łomżyński,Renewable energy,Solar,,Photovoltaics,0.711,1,Urzad Regulacji Energetyki,2016
łowicki,Renewable energy,Hydro,,Hydro,0.045,2,Urzad Regulacji Energetyki,2016
łowicki,Renewable energy,Wind,,Onshore,0.5,1,Urzad Regulacji Energetyki,2016
łukowski,Renewable energy,Solar,,Photovoltaics,3.578,6,Urzad Regulacji Energetyki,2016
łódzki wschodni,Renewable energy,Wind,,Onshore,15.4,7,Urzad Regulacji Energetyki,2016
łęczycki,Renewable energy,Wind,,Onshore,0.8,1,Urzad Regulacji Energetyki,2016
łęczyński,Renewable energy,Solar,,Photovoltaics,0.096,1,Urzad Regulacji Energetyki,2016
Świnoujście,Renewable energy,Bioenergy,Sewage and landfill gas,,0.38,1,Urzad Regulacji Energetyki,2016
Świnoujście,Renewable energy,Bioenergy,Sewage and landfill gas,,0.2,1,Urzad Regulacji Energetyki,2016
średzki,Renewable energy,Solar,,Photovoltaics,0.065,2,Urzad Regulacji Energetyki,2016
średzki,Renewable energy,Wind,,Onshore,12.8,5,Urzad Regulacji Energetyki,2016
śremski,Renewable energy,Wind,,Onshore,5.0,1,Urzad Regulacji Energetyki,2016
śremski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.123,1,Urzad Regulacji Energetyki,2016
świdnicki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.97,2,Urzad Regulacji Energetyki,2016
świdnicki,Renewable energy,Bioenergy,Biomass and biogas,,0.999,1,Urzad Regulacji Energetyki,2016
świdnicki,Renewable energy,Solar,,Photovoltaics,3.046,6,Urzad Regulacji Energetyki,2016
świdnicki,Renewable energy,Solar,,Photovoltaics,0.078,2,Urzad Regulacji Energetyki,2016
świdnicki,Renewable energy,Bioenergy,Biomass and biogas,,0.9,1,Urzad Regulacji Energetyki,2016
świdnicki,Renewable energy,Wind,,Onshore,0.9,1,Urzad Regulacji Energetyki,2016
świdnicki,Renewable energy,Hydro,,Hydro,0.105,3,Urzad Regulacji Energetyki,2016
świdnicki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.487,2,Urzad Regulacji Energetyki,2016
świdnicki,Renewable energy,Hydro,,Hydro,1.25,1,Urzad Regulacji Energetyki,2016
świdnicki,Renewable energy,Hydro,,Hydro,0.015,1,Urzad Regulacji Energetyki,2016
świdwiński,Renewable energy,Bioenergy,Biomass and biogas,,0.8,1,Urzad Regulacji Energetyki,2016
świdwiński,Renewable energy,Hydro,,Hydro,0.062,3,Urzad Regulacji Energetyki,2016
świebodziński,Renewable energy,Hydro,,Hydro,0.103,3,Urzad Regulacji Energetyki,2016
świebodziński,Renewable energy,Wind,,Onshore,6.0,1,Urzad Regulacji Energetyki,2016
świebodziński,Renewable energy,Solar,,Photovoltaics,0.037,1,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Bioenergy,Biomass and biogas,,33.0,1,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Wind,,Onshore,2.1,2,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Bioenergy,Biomass and biogas,,136.825,2,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Hydro,,Hydro,0.195,7,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Hydro,,Hydro,11.9,3,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Bioenergy,Biomass and biogas,,1.8,1,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Hydro,,Hydro,0.5,1,Urzad Regulacji Energetyki,2016
Żory,Renewable energy,Bioenergy,Sewage and landfill gas,,0.208,1,Urzad Regulacji Energetyki,2016
żagański,Renewable energy,Hydro,,Hydro,6.895,4,Urzad Regulacji Energetyki,2016
żagański,Renewable energy,Hydro,,Hydro,6.655,9,Urzad Regulacji Energetyki,2016
żagański,Renewable energy,Hydro,,Hydro,0.576,7,Urzad Regulacji Energetyki,2016
żagański,Renewable energy,Wind,,Onshore,49.5,2,Urzad Regulacji Energetyki,2016
żarski,Renewable energy,Wind,,Onshore,12.8,2,Urzad Regulacji Energetyki,2016
żarski,Renewable energy,Hydro,,Hydro,0.009,1,Urzad Regulacji Energetyki,2016
żarski,Renewable energy,Hydro,,Hydro,2.96,4,Urzad Regulacji Energetyki,2016
żarski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.2,1,Urzad Regulacji Energetyki,2016
żarski,Renewable energy,Hydro,,Hydro,2.909,2,Urzad Regulacji Energetyki,2016
żniński,Renewable energy,Hydro,,Hydro,0.16,1,Urzad Regulacji Energetyki,2016
żniński,Renewable energy,Wind,,Onshore,13.675,11,Urzad Regulacji Energetyki,2016
żuromiński,Renewable energy,Hydro,,Hydro,0.135,2,Urzad Regulacji Energetyki,2016
żuromiński,Renewable energy,Wind,,Onshore,77.66,14,Urzad Regulacji Energetyki,2016
żyrardowski,Renewable energy,Wind,,Onshore,4.75,3,Urzad Regulacji Energetyki,2016
żyrardowski,Renewable energy,Hydro,,Hydro,0.065,1,Urzad Regulacji Energetyki,2016
żyrardowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.14,1,Urzad Regulacji Energetyki,2016
żyrardowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.721,1,Urzad Regulacji Energetyki,2016
żyrardowski,Renewable energy,Solar,,Photovoltaics,0.03,3,Urzad Regulacji Energetyki,2016
żywiecki,Renewable energy,Hydro,,Hydro,33.6,2,Urzad Regulacji Energetyki,2016
żywiecki,Renewable energy,Solar,,Photovoltaics,0.118,9,Urzad Regulacji Energetyki,2016
żywiecki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.303,1,Urzad Regulacji Energetyki,2016
żywiecki,Renewable energy,Hydro,,Hydro,0.165,1,Urzad Regulacji Energetyki,2016
